"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2025-10-22","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","172770.84","4349","AdSupportedLinear"
"2025-10-23","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","806935.31","16989","AdSupportedLinear"
"2025-10-23","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","729730.69","14272","AdSupportedLinear"
"2025-10-23","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","711913.94","14270","AdSupportedLinear"
"2025-10-23","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","583206.31","12105","AdSupportedLinear"
"2025-10-23","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","153623.67","4337","AdSupportedLinear"
"2025-10-24","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","741234.38","17428","AdSupportedLinear"
"2025-10-24","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","745945.25","13642","AdSupportedLinear"
"2025-10-24","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","383227.91","8967","AdSupportedLinear"
"2025-10-24","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","686957.56","13686","AdSupportedLinear"
"2025-10-24","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","150425.34","4642","AdSupportedLinear"
"2025-10-25","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","645721.81","17815","AdSupportedLinear"
"2025-10-25","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","602314.19","13910","AdSupportedLinear"
"2025-10-25","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","468240.94","11951","AdSupportedLinear"
"2025-10-25","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","574800.06","13013","AdSupportedLinear"
"2025-10-25","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","147101.67","5098","AdSupportedLinear"
"2025-10-26","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","452743.50","15104","AdSupportedLinear"
"2025-10-26","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","616470.56","14034","AdSupportedLinear"
"2025-10-26","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","457035.31","11819","AdSupportedLinear"
"2025-10-26","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","497784.66","13359","AdSupportedLinear"
"2025-10-26","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","129704.02","5103","AdSupportedLinear"
"2025-10-27","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","610002.31","15248","AdSupportedLinear"
"2025-10-27","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","629941.38","13834","AdSupportedLinear"
"2025-10-27","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","671283.62","13787","AdSupportedLinear"
"2025-10-27","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Maury presented by Nosey","US","556394.12","12733","AdSupportedLinear"
"2025-10-27","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","144504.97","4384","AdSupportedLinear"
"2025-10-28","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","926853.88","17475","AdSupportedLinear"
"2025-10-28","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","636084.31","14332","AdSupportedLinear"
