"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2025-11-14","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","451917.97","9652","AdSupportedLinear"
"2025-11-14","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","931170.06","17358","AdSupportedLinear"
"2025-11-14","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","189562.31","5014","AdSupportedLinear"
"2025-11-15","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","774422.75","20240","AdSupportedLinear"
"2025-11-15","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","700956.25","13985","AdSupportedLinear"
"2025-11-15","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","496213.94","11280","AdSupportedLinear"
"2025-11-15","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","801395.69","16815","AdSupportedLinear"
"2025-11-15","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","184892.28","5446","AdSupportedLinear"
"2025-11-16","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","517284.47","18147","AdSupportedLinear"
"2025-11-16","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","604667.06","13913","AdSupportedLinear"
"2025-11-16","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","492130.47","12146","AdSupportedLinear"
"2025-11-16","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","706073.69","16144","AdSupportedLinear"
"2025-11-16","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","148195.53","5076","AdSupportedLinear"
"2025-11-17","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","622859.00","17011","AdSupportedLinear"
"2025-11-17","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","647610.62","13510","AdSupportedLinear"
"2025-11-17","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","740200.44","13753","AdSupportedLinear"
"2025-11-17","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","824985.06","16727","AdSupportedLinear"
"2025-11-17","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","191827.06","4455","AdSupportedLinear"
"2025-11-18","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1230878.38","20530","AdSupportedLinear"
"2025-11-18","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","594548.12","12543","AdSupportedLinear"
"2025-11-18","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","690045.44","13579","AdSupportedLinear"
"2025-11-18","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","825181.69","16664","AdSupportedLinear"
"2025-11-18","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","210926.66","4444","AdSupportedLinear"
"2025-11-19","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1125237.62","19920","AdSupportedLinear"
"2025-11-19","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","593118.31","12141","AdSupportedLinear"
"2025-11-19","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","727559.06","13162","AdSupportedLinear"
"2025-11-19","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","757293.06","15958","AdSupportedLinear"
"2025-11-19","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","218801.73","4167","AdSupportedLinear"
"2025-11-20","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1030012.94","20050","AdSupportedLinear"
"2025-11-20","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","685050.81","12770","AdSupportedLinear"
"2025-11-20","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","748509.19","13728","AdSupportedLinear"
"2025-11-20","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","839290.44","16558","AdSupportedLinear"
"2025-11-20","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","208152.67","4391","AdSupportedLinear"
"2025-11-21","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","852171.44","20058","AdSupportedLinear"
"2025-11-21","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","764145.56","14030","AdSupportedLinear"
"2025-11-21","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","440010.78","9023","AdSupportedLinear"
"2025-11-21","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","881138.00","18100","AdSupportedLinear"
"2025-11-21","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","191991.19","4811","AdSupportedLinear"
"2025-11-22","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","769669.88","21394","AdSupportedLinear"
"2025-11-22","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","670252.56","13981","AdSupportedLinear"
"2025-11-22","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","546062.06","12901","AdSupportedLinear"
"2025-11-22","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","772857.62","17047","AdSupportedLinear"
"2025-11-22","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","172850.09","5396","AdSupportedLinear"
"2025-11-23","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","552353.31","19022","AdSupportedLinear"
"2025-11-23","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","643690.44","14336","AdSupportedLinear"
"2025-11-23","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","500329.84","12721","AdSupportedLinear"
"2025-11-23","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","788648.06","17470","AdSupportedLinear"
"2025-11-23","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","155039.73","4876","AdSupportedLinear"
"2025-11-24","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","671095.44","16813","AdSupportedLinear"
"2025-11-24","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","589911.56","13562","AdSupportedLinear"
"2025-11-24","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","716076.12","14220","AdSupportedLinear"
"2025-11-24","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","796221.06","17049","AdSupportedLinear"
"2025-11-24","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","169027.52","4765","AdSupportedLinear"
"2025-11-25","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1021791.62","19334","AdSupportedLinear"
"2025-11-25","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","527630.38","12336","AdSupportedLinear"
"2025-11-25","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","702767.12","14280","AdSupportedLinear"
"2025-11-25","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","725604.38","16075","AdSupportedLinear"
"2025-11-25","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","191355.72","4777","AdSupportedLinear"
"2025-11-26","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1120664.88","20088","AdSupportedLinear"
"2025-11-26","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","583365.62","12358","AdSupportedLinear"
"2025-11-26","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","698607.62","13515","AdSupportedLinear"
"2025-11-26","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","827982.12","16249","AdSupportedLinear"
"2025-11-26","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","201949.55","4418","AdSupportedLinear"
"2025-11-27","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","883766.62","19266","AdSupportedLinear"
"2025-11-27","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","599076.81","12701","AdSupportedLinear"
"2025-11-27","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","596849.69","13183","AdSupportedLinear"
"2025-11-27","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","723228.31","15841","AdSupportedLinear"
"2025-11-27","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","198402.56","4625","AdSupportedLinear"
"2025-11-28","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","720582.94","20216","AdSupportedLinear"
"2025-11-28","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","720757.56","13756","AdSupportedLinear"
"2025-11-28","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","392978.97","9525","AdSupportedLinear"
"2025-11-28","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","817484.88","16865","AdSupportedLinear"
"2025-11-28","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","140777.72","4819","AdSupportedLinear"
"2025-11-29","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","714191.81","20445","AdSupportedLinear"
"2025-11-29","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","656685.88","14158","AdSupportedLinear"
"2025-11-29","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","462743.94","11558","AdSupportedLinear"
"2025-11-29","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","859550.75","16943","AdSupportedLinear"
"2025-11-29","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","177803.27","5374","AdSupportedLinear"
"2025-11-30","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","521788.31","17822","AdSupportedLinear"
"2025-11-30","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","631393.38","13828","AdSupportedLinear"
"2025-11-30","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","451630.91","11966","AdSupportedLinear"
"2025-11-30","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","822077.31","16957","AdSupportedLinear"
"2025-11-30","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","139840.94","4905","AdSupportedLinear"
