,,,,,,,,
,PLUTO TV - CONTENT PARTNER REVENUE REPORTING,,,,,,,
,,,,,,,,
,,,,,,,,
,Content Partner,Series Name,Episode Name,Clip Name,Season #,Episode #,Channel Name, Net Revenue per Clip 
,nosey,The Jerry Springer Show (dubbed) (LAS),¡Enfrentamiento entre amantes furiosos!,¡Enfrentamiento entre amantes furiosos!,17,76,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),¡Es tu culpa que yo te esté siendo infiel!,¡Es tu culpa que yo te esté siendo infiel!,17,75,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),¡Fuera de mi trío!,¡Fuera de mi trío!,17,103,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),¡La explosión de los amantes furiosos!,¡La explosión de los amantes furiosos!,17,70,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),¡No te vas a casar con él!,¡No te vas a casar con él!,1,29,VOD, $ 0.04 
,nosey,The Jerry Springer Show (dubbed) (LAS),¡Relaciones ocultas!,¡Relaciones ocultas!,17,94,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),¡Secretos sexuales candentes!,¡Secretos sexuales candentes!,1,33,VOD, $ 0.02 
,nosey,The Jerry Springer Show (dubbed) (LAS),¡Tres hermanas comparten a un hombre!,¡Tres hermanas comparten a un hombre!,17,73,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),¡Yo quiero ser así!,¡Yo quiero ser así!,1,76,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),¿Adivina qué? Estoy siendo infiel,¿Adivina qué? Estoy siendo infiel,1,35,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),¿Con quién me voy a casar?,¿Con quién me voy a casar?,1,19,VOD, $ 0.06 
,nosey,The Jerry Springer Show (dubbed) (LAS),A pelear: espectadores vs. Invitados,A pelear: espectadores vs. Invitados,1,78,VOD, $ -   
,nosey,The Jerry Springer Show (dubbed) (LAS),Admito que… soy infiel,Admito que… soy infiel,17,104,VOD, $ -   
,nosey,The Jerry Springer Show (dubbed) (LAS),Aventuras insólitas,Aventuras insólitas,18,9,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),Cariño... ¡Este es mi verdadero trabajo!,Cariño... ¡Este es mi verdadero trabajo!,1,32,VOD, $ 0.02 
,nosey,The Jerry Springer Show (dubbed) (LAS),El regreso de los huéspedes del pasado Parte 2,El regreso de los huéspedes del pasado Parte 2,1,92,VOD, $ -   
,nosey,The Jerry Springer Show (dubbed) (LAS),Espectáculo de la reina del baile,Espectáculo de la reina del baile,1,84,VOD, $ 0.02 
,nosey,The Jerry Springer Show (dubbed) (LAS),Excándalos explosivos de infidelidad,Excándalos explosivos de infidelidad,17,7,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),Invasión de los amantes enojados,Invasión de los amantes enojados,17,90,VOD, $ -   
,nosey,The Jerry Springer Show (dubbed) (LAS),Le miento a mi amante,Le miento a mi amante,17,102,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),Me acosté con 3 hermanos,Me acosté con 3 hermanos,1,64,VOD, $ 0.02 
,nosey,The Jerry Springer Show (dubbed) (LAS),Me arrepiento de ti,Me arrepiento de ti,1,82,VOD, $ -   
,nosey,The Jerry Springer Show (dubbed) (LAS),Me quedo con tu novio,Me quedo con tu novio,17,101,VOD, $ -   
,nosey,The Jerry Springer Show (dubbed) (LAS),Mentiras y secretos enormes,Mentiras y secretos enormes,1,63,VOD, $ 0.03 
,nosey,The Jerry Springer Show (dubbed) (LAS),Mi mamá se robó a mi novia,Mi mamá se robó a mi novia,1,46,VOD, $ 0.02 
,nosey,The Jerry Springer Show (dubbed) (LAS),No puedo dejar de quererte,No puedo dejar de quererte,1,59,VOD, $ 0.02 
,nosey,The Jerry Springer Show (dubbed) (LAS),No te dejaré ir,No te dejaré ir.,1,31,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),Relaciones amorosas extrañas,Relaciones amorosas extrañas,17,91,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),Tengo otro amante,Tengo otro amante,17,30,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),Un hombre y su comida: ¡Una historia de amor!,Un hombre y su comida: ¡Una historia de amor!,17,92,VOD, $ 0.01 
,nosey,The Jerry Springer Show (dubbed) (LAS),Una boda alucinante,Una boda alucinante,1,86,VOD, $ -   
,nosey,The Jerry Springer Show (dubbed) (LAS),Vidas sexuales secretas,Vidas sexuales secretas,17,105,VOD, $ -   
,nosey,The Jerry Springer Show (dubbed) (LAS),Voy a recuperar a mi novio,Voy a recuperar a mi novio,1,62,VOD, $ 0.03 
,nosey,The Jerry Springer Show (LAS),¡No te vas a casar con él!,¡No te vas a casar con él!,1,29,VOD, $ 0.02 
,nosey,The Jerry Springer Show (LAS),¡Secretos sexuales candentes!,¡Secretos sexuales candentes!,1,33,VOD, $ 0.01 
,nosey,The Jerry Springer Show (LAS),¿Adivina qué? Estoy siendo infiel,¿Adivina qué? Estoy siendo infiel,1,35,VOD, $ 0.02 
,nosey,The Jerry Springer Show (LAS),¿Con quién me voy a casar?,¿Con quién me voy a casar?,1,19,VOD, $ 0.04 
,nosey,The Jerry Springer Show (LAS),Admito que… soy infiel,Admito que… soy infiel,17,104,VOD, $ -   
,nosey,The Jerry Springer Show (LAS),Cariño... ¡Este es mi verdadero trabajo!,Cariño... ¡Este es mi verdadero trabajo!,1,32,VOD, $ 0.01 
,nosey,The Jerry Springer Show (LAS),El infierno de las vacaciones con mi familia conflictiva,El infierno de las vacaciones con mi familia conflictiva,1,14,VOD, $ 0.07 
,nosey,The Jerry Springer Show (LAS),Escándalos explosivos de infidelidad,Excándalos explosivos de infidelidad,17,7,VOD, $ 0.03 
,nosey,The Jerry Springer Show (LAS),Freaky Adventures,Freaky Adventures,18,2,VOD, $ -   
,nosey,The Jerry Springer Show (LAS),Me acosté con 3 hermanos,Me acosté con 3 hermanos,1,64,VOD, $ 0.01 
,nosey,The Jerry Springer Show (LAS),Mentiras y secretos enormes,Mentiras y secretos enormes,1,63,VOD, $ -   
,nosey,The Jerry Springer Show (LAS),Mi mamá se robó a mi novia,Mi mamá se robó a mi novia,1,46,VOD, $ 0.01 
,nosey,The Jerry Springer Show (LAS),No puedo dejar de quererte,No puedo dejar de quererte,1,59,VOD, $ 0.01 
,nosey,The Jerry Springer Show (LAS),No te dejaré ir,No te dejaré ir.,1,31,VOD, $ 0.02 
,nosey,The Jerry Springer Show (LAS),Placeres costosos,Placeres costosos,1,13,VOD, $ 0.07 
,nosey,The Jerry Springer Show (LAS),Tengo otro amante,Tengo otro amante,17,30,VOD, $ 0.01 
,nosey,The Jerry Springer Show (LAS),Vidas sexuales secretas,Vidas sexuales secretas,17,105,VOD, $ 0.01 
,nosey,The Jerry Springer Show (LAS),Voy a recuperar a mi novio,Voy a recuperar a mi novio,1,62,VOD, $ 0.01 
,nosey,The Maury Show (LAS),2 mamás. 3 bebés. ¿Uno de los hombres es el padre?,2 mamás. 3 bebés. ¿Uno de los hombres es el padre?,11,32,VOD, $ 0.02 
,nosey,The Maury Show (LAS),¿Mi hija se acostó con mi novio?,¿Mi hija se acostó con mi novio?,11,36,VOD, $ 0.01 
,nosey,The Maury Show (LAS) (dubbed),¡Las pruebas de ADN demostrarán que tienes 10 hijos! (dubbed),¡Las pruebas de ADN demostrarán que tienes 10 hijos!,17,125,VOD, $ 0.02 
,nosey,The Maury Show (LAS) (dubbed),El sexo fue muy corto para hacer un bebé (dubbed),El sexo fue muy corto para hacer un bebé,17,138,VOD, $ 0.02 
,nosey,The Maury Show (LAS) (dubbed),No quiero conocer a tu bebé! (dubbed),No quiero conocer a tu bebé!,17,140,VOD, $ 0.03 
,nosey,The Maury Show (LAS) (dubbed),Tengo 27 años... ¿Mi novio adolescente es infiel? (dubbed),Tengo 27 años... ¿Mi novio adolescente es infiel?,17,139,VOD, $ 0.02 
