"Date","Channel Id","Channel Name","Territory","Minutes Streamed","Unique Streams","Consumption Type"
"2026-01-16","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","325797.38","8627","AdSupportedLinear"
"2026-01-16","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","466738.94","14983","AdSupportedLinear"
"2026-01-16","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","199014.27","5781","AdSupportedLinear"
"2026-01-17","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","728534.31","21308","AdSupportedLinear"
"2026-01-17","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","730131.06","16610","AdSupportedLinear"
"2026-01-17","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","379227.59","15542","AdSupportedLinear"
"2026-01-17","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","375964.00","13170","AdSupportedLinear"
"2026-01-17","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","197931.84","6727","AdSupportedLinear"
"2026-01-18","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","461078.56","17883","AdSupportedLinear"
"2026-01-18","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","786217.31","18359","AdSupportedLinear"
"2026-01-18","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","347812.50","17349","AdSupportedLinear"
"2026-01-18","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","518413.97","15307","AdSupportedLinear"
"2026-01-18","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","158353.56","6632","AdSupportedLinear"
"2026-01-19","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","662197.44","17767","AdSupportedLinear"
"2026-01-19","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","868054.06","18723","AdSupportedLinear"
"2026-01-19","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","387591.34","16650","AdSupportedLinear"
"2026-01-19","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","572983.56","16709","AdSupportedLinear"
"2026-01-19","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","189649.72","5545","AdSupportedLinear"
"2026-01-20","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","851310.25","20194","AdSupportedLinear"
"2026-01-20","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","749565.25","17461","AdSupportedLinear"
"2026-01-20","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","353152.81","15081","AdSupportedLinear"
"2026-01-20","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","474338.84","15463","AdSupportedLinear"
"2026-01-20","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","209965.20","5757","AdSupportedLinear"
"2026-01-21","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1119689.38","21094","AdSupportedLinear"
"2026-01-21","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","714948.69","15938","AdSupportedLinear"
"2026-01-21","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","392911.94","14510","AdSupportedLinear"
"2026-01-21","amzn1.dv.gti.e2de6851-3dd1-488d-876f-087b5ca83e5f","Jerry Springer presented by Nosey","US","604380.69","16304","AdSupportedLinear"
"2026-01-21","amzn1.dv.gti.60d05943-e945-4adb-a5bf-0571c256acaf","Nosey","UK","229502.34","5861","AdSupportedLinear"
"2026-01-22","amzn1.dv.gti.4bb0faf5-52da-4afd-a73d-1c3efc4e61b4","Nosey","US","1082852.50","21723","AdSupportedLinear"
"2026-01-22","amzn1.dv.gti.792b1add-4005-4f9f-bcc3-f3a9e24b1bbc","Confess by Nosey","US","831629.69","15715","AdSupportedLinear"
"2026-01-22","amzn1.dv.gti.df344758-140b-48b3-bcd0-506ab3ed6c82","Judge Nosey","US","231584.97","8867","AdSupportedLinear"
